IE_XML_ID;IE_NAME
15231;Icom IC-F2100DT
15230;Icom IC-F2100DS
15229;Icom IC-F2100D
3727;Icom IC-F16
15226;Icom IC-F1100DT
15225;Icom IC-F1100DS
15224;Icom IC-F1100D
7829;Icom IC-4088E
9340;Hytera X1p UL913 G (MD)
4700;Hytera X1p G (MD)
14944;Hytera TF515
14943;Hytera TF415
14942;Hytera TF315
4572;Hytera TC-700
4571;Hytera TC-580
4570;Hytera TC-518
4569;Hytera TC-508
4568;Hytera TC-320
16044;Hytera PD985 UL913 G (MD)
12808;Hytera PD985
17249;Hytera PD795IS G (MD)
4733;Hytera PD795Ex G (MD)
10409;Hytera PD785 UL913 G (MD)
10400;Hytera PD785 G
10408;Hytera PD785 UL913 (MD)
4668;Hytera PD785
9337;Hytera PD755 G
9336;Hytera PD755
9994;Hytera PD715Ex G (MD)
9339;Hytera PD705 UL913 G (MD)
9335;Hytera PD705 G
9338;Hytera PD705 UL913 (MD)
4647;Hytera PD705
8695;Hytera PD685 G (MD)
8694;Hytera PD685 G
8696;Hytera PD685 (MD)
8693;Hytera PD685
8691;Hytera PD665 G (MD)
8690;Hytera PD665 G
8692;Hytera PD665 (MD)
8689;Hytera PD665
8687;Hytera PD605 G
8686;Hytera PD605
8688;Hytera PD605 (MD)
4249;Hytera PD605 G (MD)
16043;Hytera PD565 UL913
8056;Hytera PD565
8685;Hytera PD505 UHF
16042;Hytera PD505 UL913
4248;Hytera PD505 VHF
13241;Hytera PD485G
13240;Hytera PD485
9334;Hytera PD415
9333;Hytera PD405 new
8054;Hytera PD365
14028;Hytera BD555
14026;Hytera BD505
14025;Hytera BD305
14024;Hytera BD305 2W
11651;ГРИФОН G-6
9480;ГРИФОН G-44
11974;ГРИФОН G-34
15461;Грифон G-3
15156;Гранит 1Р32Н
15157;Гранит 1Р31Н
10510;Comrade R8
14056;Comrade R7 VHF
10509;Comrade R7
14055;Comrade R6 Digital
10506;Comrade R6
10503;Comrade R5
14057;Comrade R1
11781;Бизон VK50M
11782;Бизон VK50L 1700/3200 мАч
15275;Бизон KT85DM
5969;Бизон KT85
11400;Бизон KT65
15263;Бизон KT25L
15068;Бизон KT15S
11401;Бизон KT15
15069;Байкал-30 В1
15409;Аргут РК-301Н
15410;Аргут РК-301М VHF
15413;Аргут РК-301М UHF
9060;Аргут РК-301М Роуминг VHF
15431;Аргут РК-301М Роуминг UHF
9061;Аргут А-74
12585;Аргут А-73
15408;Аргут А-55
4338;АРГУТ А-54
4334;АРГУТ А-43
4333;АРГУТ А-41 NEW
9059;АРГУТ А-25 NEW
14110;Аргут А-24 LED
4331;АРГУТ А-23 NEW
13653;ALINCO DJ-VX50
13652;Alinco DJ-VX41
13920;Alinco DJ-VX11
13918;Alinco DJ-VX10
4889;Alinco DJ-V57
8724;Alinco DJ-V17L (body)
14702;ALINCO DJ-PAX4
13928;Alinco DJ-MD5EGP
13926;Alinco DJ-MD5E
10970;Alinco DJ-MD40
4761;Alinco DJ-G7
13005;Alinco DJ-D45
13004;Alinco DJ-D15
15621;Alinco DJ-CRX7
11360;ALINCO DJ-AXD4
11359;ALINCO DJ-AXD1
8719;Alinco DJ-A446
8717;Alinco DJ-A41
8718;Alinco DJ-A40
8716;Alinco DJ-A11
8715;Alinco DJ-A10
8721;Alinco DJ-500
8726;Alinco DJ-496 (body)
8722;Alinco DJ-195 (body)
8723;Alinco DJ-17R/TFH (body)
8720;Alinco DJ-100
4254;Ajetrays AJ-447
4253;Ajetrays AJ-446
12361;Ajetrays AJ-437
9896;Motorola SL4000
9895;Motorola DP4800
9894;Motorola DP4801 GLONASS
9893;Motorola DP4401 GLONASS
9892;Motorola DP4600
9891;Motorola DP4401
9879;Vertex Standard EVX-261
9842;Комбат Т-34 ATEX
9841;Комбат Т-34 Макс
9840;Комбат Т-34 Спорт
9602;Комплект Lira P-280
9601;Vostok ST-31 комплект
9600;Vostok ST-101 комплект
9599;Vostok ST-54 комплект
9596;Vostok ST-54
9593;Icom IC-F1000T
9592;Icom IC-F1000S
9591;Icom IC-F4161DT
9587;Hytera PD375
9583;Hytera TC-700Ex
9526;Vertex Standard VX-824 ATEX
9525;Vertex Standard VX-821 ATEX
9511;Янтарь-Н
9481;ГРИФОН G-45
9479;Vertex Standard VX-264
9478;Vertex Standard VX-241
9472;Vertex Standard EVX-539 (IS)
9471;Vertex Standard EVX-531 (IS)
9465;Optim WT-556
9464;Optim WT-555
9408;АРГУТ А-36
9343;Hytera TC-780
9321;Vertex Standard EVX-Link
9283;Vertex Standard VZ-9
9144;AJETRAYS AJ-435
8979;Midland G-21
8978;Midland G9XT
8977;Midland G70XT
8976;Midland GXT-1000
8975;Midland GXT-850
8974;Midland LXT-325
8973;Midland Alan 42
8839;Yaesu FTA-310
8838;Yaesu FTA-550 AA
8833;Yaesu FTA-720
8832;Yaesu FTA-750L
8831;Yaesu FT-270R
8830;Yaesu FT1D
8725;Alinco DJ-V47R (body)
8590;Icom IC-F4262DS #26
8589;Icom IC-F4262DS #27
8588;Icom IC-F4262DS #28
8587;Icom IC-F4262DS #29
8586;Icom IC-F4262DT #24
8585;Icom IC-F4262DT #23
8584;Icom IC-F4262DT #22
8582;Icom IC-F4162DT #84
8580;Icom IC-F4162DS #94
8565;Lira P-112L
8530;Kenwood NX-300E4
8529;Kenwood NX-300K4
8528;Kenwood NX-300K2
8516;Kenwood NX-300E
8515;Kenwood NX-200E
8479;Kenwood NX-200K
8458;Kenwood TK-3306NM3
8445;Kenwood TK-3170E6
8387;Icom IP-100H
8386;Icom IC-F61#63
8385;Icom IC-F51#62
8379;Icom IC-F4202DEX
8378;Icom IC-F4162DS #93
8254;Yaesu FTA-230
8253;Yaesu FT-60R
8252;Yaesu FT-257
8251;Yaesu VX-8DR
8250;Vector VT-44 Military Special (body)
8213;Vector VT-44 Military Scout
8212;Vector VT-67
8055;Hytera PD365LF
8053;Hytera PD355LF
8052;Hytera PD355
8026;Icom ID-51
8025;Icom IC-E92D (IC-92AD)
8024;Icom IC-F4029SDR
8018;Icom IC-F3162DT #86
8015;Icom IC-F3162DS #96
8014;Icom IC-F3162DS #95
8007;Icom IC-F3262DT #74
8006;Icom IC-F3262DT #73
8005;Icom IC-F3262DT #72
8003;Icom IC-F3262DS #79
8002;Icom IC-F3262DS #78
8001;Icom IC-F3262DS #77
8000;Icom IC-F3262DS #76
7982;Icom IC-F3202DEX
7907;Icom IC-F2000
7906;Icom IC-F1000
7858;Kenwood NX-200-ISK
7830;Icom IC-4088SR
7782;Roger KP-50
7781;Roger KP-49
7780;Roger KP-19
7779;Roger KP-17
7610;Kenwood Nexedge NX-300-ISK4
7609;Kenwood Nexedge IS300K4BP0N
7608;Kenwood Nexedge IS200K2BP0N
7605;Kenwood IS300K2BP0N
7604;Kenwood IS200KBP0N
7602;Kenwood TK-2180-ISK2
7600;Kenwood IS-3180K2BP1N
7599;Kenwood IS-3180K4BP1N (Full Keypad)
7598;Kenwood IS-2180K2BP1N (Full Keypad)
7586;Kenwood IS-2180KBP1N
7582;Kenwood TK-2260EXE2
7581;Kenwood TK-D300E2
7580;Kenwood TK-D300E
7579;Kenwood TK-D300GE2
7578;Kenwood TK-D300GE
7577;Kenwood TK-D200E2
7576;Kenwood TK-D200E
7575;Kenwood TK-D200GE2
7574;Kenwood TK-D200GE
7571;Kenwood TK-3160M3
7570;Kenwood TK-270GM
7516;Kenwood PKT-03
7246;Vostok ST-201
7242;Vostok ST-51
6136;Бизон KT45
6083;Ajetrays AJ-436
5844;Lira P-110L
5843;Lira P-210L
5842;Lira P-312
5834;Lira P-280L
5813;Lira P-510H
5803;Lira P-580UV
4869;Alinco DJ-V47
4820;Alinco DJ-V17L
4814;Alinco DJ-V17
4791;Alinco DJ-S45CQ
4764;Alinco DJ-S45TA
4699;Hytera X1e G (MD)
4646;Hytera PD705 (MD)
4575;Alinco DJ-C7
4566;Alinco DJ-175
4348;Midland G-14
4347;Midland G-10
4346;Midland G-3
4345;Midland GXT-1050
4344;Midland GXT 900
4343;Midland GXT 650
4342;Midland G6XT
4339;АРГУТ А-75
4337;АРГУТ А-53
4336;АРГУТ А-45
4335;АРГУТ А-44
4332;АРГУТ А-24 NEW
4329;Ajetrays AJ-150
4258;Ajetrays AJ-344U
4257;Ajetrays AJ-444
4256;Ajetrays AJ-450
4255;Ajetrays AJ-434
4252;Ajetrays AJ-344V
4244;Hytera X1e G
4239;Ajetrays AJ-144
4173;Roger KP-60
4171;Roger KP-55
4170;Roger KP-47
4168;Roger KP-23
4166;Roger KP-16
4164;Roger KP-15
4150;Roger KP-14
4106;Kenwood TK-2140
4103;Kenwood TK-2180E
4098;Kenwood TK-3180E
4097;Kenwood TK-2212
4094;Kenwood TK-2306
4093;Kenwood TK-3306NM
4074;Kenwood TK-2307
4054;Kenwood TK-3307M2
4050;Kenwood TK-3301E
4010;Yaesu VX-3R
4007;Yaesu FT-252
3995;Yaesu VX-7R
3993;Yaesu VX-170 / VX-177
3992;Yaesu VX-120
3991;Yaesu VX-150
3990;Yaesu VX-110
3989;Yaesu VX-8R
3839;Vector VT-44 Military Special
3837;Vector VT-44 Military #01
3836;Vector VT-44 STD
3833;Vector VT-44 Master
3832;Vector VT-47 ULTRA
3831;Vector VT-47 PILOT
3830;Vector VT-47 M2
3829;Vector VT-47 SPORT
3828;Vector VT-48 W
3827;Vector VT-48 GT
3825;Vector VT-43 R2
3824;Vector VT-44 Combat
3820;Vertex Standard VX-351
3819;Vertex Standard VX-354
3818;Vertex Standard VX-821E
3817;Vertex Standard VX-824E
3816;Vertex Standard VX-829E
3815;Vertex Standard VX-921E
3814;Vertex Standard VX-924E
3813;Vertex Standard VX-929E
3810;Vertex Standard VX-417
3807;Vertex Standard VX-231
3806;Vertex Standard VX-451
3805;Vertex Standard VX-454
3804;Vertex Standard VX-459
3797;Vertex Standard EVX-539
3796;Vertex Standard EVX-534
3795;Vertex Standard EVX-531
3769;Motorola GP680 ATEX
3768;Motorola GP380 ATEX
3767;Motorola GP340 ATEX
3766;Motorola P040
3765;Motorola P030
3758;Motorola SL4010
3757;Motorola DP3441
3756;Motorola DP4801
3755;Motorola DP4601
3754;Motorola DP4400
3753;Motorola DP2400
3752;Motorola DP3600 / 3601
3751;Motorola DP3400 / 3401
3749;Motorola DP2600
3740;Kenwood TK-3170M / TK-3170M3
3738;Kenwood TK-2206
3736;Kenwood TK-2160
3734;Icom IC-F43GT
3733;Icom IC-F40GT
3732;Icom IC-F3GT
3731;Icom IC-F3GS
3730;Icom IC-F33GT
3729;Icom IC-F30GT
3726;Motorola P080
3725;Motorola P020
3724;Motorola GP900
3723;Motorola GP688
3722;Motorola GP680
3721;Motorola GP644
3720;Motorola GP640
3719;Motorola GP388
3718;Motorola GP380
3717;Motorola GP360
3716;Motorola GP344
3715;Motorola GP340
3714;Motorola GP320
3713;Motorola GP140
3712;Motorola GP1280
3711;Motorola CP180
3710;Motorola CP160
3704;Motorola CP040
3703;Motorola CP140
15572;Hytera BD505 LF
15180;Гранит 2Р-45
15177;Гранит Р-41
14723;КОМБАТ T-54 DMR UHF/VHF
14721;Комбат T-340B VHF/UHF
14719;Комбат T-440B DMR
14717;КОМБАТ T-54 SMART DMR-2
14504;Caltta PH500
14503;Caltta PH520
14502;Caltta PH690L
14500;Caltta PH690
14499;Caltta PH700L
14496;Caltta PH700
14494;Caltta PH790L
14492;Caltta PH790
14490;Caltta Z9
14457;Kenwood TК-F6 UHF
14374;Motorola VZ-18
14372;Motorola VZ-10
14289;Motorola MTP6650 TETRA
14047;TurboSky T1
13949;Motorola TALKABOUT T92 H2O
13937;Alinco DJ-D47
13930;Alinco DJ-D17
13875;Icom IP501H
13770;Motorola ST7500 TETRA
13640;Терек Старт-М
13638;Терек Старт
13483;Yaesu FTA-450L
13474;Motorola APX 8000HXE
13473;Motorola APX 8000H
13457;Icom IC-F29DR2
13453;Icom IC-G88
13447;Roger KP-54
13327;Yaesu AR-DV10
13325;Yaesu FT-70DR
13324;Yaesu FT-4XR
13321;Yaesu FT-4VR
13312;Motorola VZ-28
13311;Motorola VZ-20
13147;Yaesu FT-25R
13144;Yaesu FT-65R
13142;Yaesu FT2DR B3 EXP
13093;Icom IC-F9021T
13083;Icom IC-F2000D
13070;Icom IC-F1000D
12955;ЛУЧ РАДИО P-435
12906;Hytera PD405
12449;КОМБАТ Т-540
12372;Ajetrays AJ-546
12122;Комбат Т-54 DMR2 LCD
12121;Комбат Т-54 DMR2 VHF-3100
12119;Комбат Т-54 DMR Патруль Про 2
12118;Комбат Т-54 DMR2 UHF-3100
11959;ZTE PM790
11958;ZTE PH790
11957;ZTE PH500
11878;Vostok ST-33
11771;Vector VT-70XT
11770;Vector VT-70
11761;Vostok ST-35
11720;Icom IC-F29SR2
11715;ICOM IC-F7020 T/S
11714;ICOM IC-F7010 T/S
11405;Icom IC-A220T
11402;Бизон KT25
11357;Icom IC-F2000T
11356;Icom IC-F2000S
11267;Kenwood WD-K10BS
11260;Kenwood WD-K10PBS
11247;Vector VT-43 R3
11246;Kenwood WD-K10TR
11005;Roger KP-52
10806;Комбат Т-34 Хантер
10804;Kenwood TK-3301
10803;Kenwood TK-3206 RP5 LITE
10802;Kenwood TK-3306
10801;Kenwood TK-3406
10796;Kenwood TK-3206
10795;Kenwood TK-3107
10502;Comrade R4
10501;Comrade R3
10484;Alinco DJ-FX446
10422;Hytera PT790 EX
10421;Hytera  Z1p
10419;Hytera PT580H Plus UL913
10418;Hytera PT580H Plus
10296;Kenwood TK-D340
10294;Kenwood TK-D240
10279;Kenwood Nexedge NX-5000
10276;LIRA DP-200 DMR
10105;Motorola VZ-30
10081;TurboSky R2
8222;Vector VT-27 Smart Turbo
8221;Vector VT-27 Smart
8224;Vector VT-27 NAVIGATOR
13630;Терек РМ-302
14826;Racio R2000 VHF
14824;Racio R2000 UHF
15580;Racio R1200
15579;Racio R1100
12124;Optim-Voyager
13218;Optim-Truck
9386;Optim-Pilgrim
9381;Optim-Apollo
9383;Optim-778
9388;Optim-270
10808;Motorola DM4601E
10807;Motorola DM4600E
10765;Motorola DM4401E
10764;Motorola DM4400E
3748;Motorola DM2600
14718;Комбат T-440 Милитари/Патруль
12294;КОМБАТ Т-340 Патруль
12293;КОМБАТ Т-340 Милитари
8420;Kenwood TK-90
8409;Kenwood TK-8360M2
8410;Kenwood TK-8360HM2
8388;Kenwood TK-8302M2
8390;Kenwood TK-8302HK2
8413;Kenwood TK-8180E
8411;Kenwood TK-8160E3
8393;Kenwood TK-7360M
8394;Kenwood TK-7360HM
7866;Kenwood TK-7302M
8408;Kenwood TK-7180E
8340;Kenwood NX-840HK2
8329;Kenwood NX-820HGK2
8328;Kenwood NX-820GE
8327;Kenwood NX-820E
8308;Kenwood NX-800K2
8307;Kenwood NX-800K
8311;Kenwood NX-800HK2
8309;Kenwood NX-800E
8339;Kenwood NX-740HK
8312;Kenwood NX-720HK
8313;Kenwood NX-720HGK
8314;Kenwood NX-720GE
8326;Kenwood NX-720E
8303;Kenwood NX-700K
8306;Kenwood NX-700HK
8305;Kenwood NX-700E
12513;Kenwood NX-3820HK
12510;Kenwood NX-3820E
12508;Kenwood NX-3720HK
12507;Kenwood NX-3720E
13148;Icom IC-F9523T
13132;Icom IC-F9511T
13145;Icom IC-F9511S
13146;Icom IC-F9511HT
13124;Icom IC-F6400DS
13127;Icom IC-F6400D
13130;Icom IC-F6360D
13113;Icom IC-F6220D
13107;Icom IC-F6123D
13118;Icom IC-F6061D
8473;Icom IC-F6061
8652;Icom IC-F6023H
8373;Icom IC-F6023
8651;Icom IC-F6013H
8357;Icom IC-F6013
13121;Icom IC-F5400DS
13126;Icom IC-F5400D
13129;Icom IC-F5360D
13112;Icom IC-F5220D
13105;Icom IC-F5123D
13115;Icom IC-F5061D
8372;Icom IC-F5061
8650;Icom IC-F5026H
8358;Icom IC-F5026
8649;Icom IC-F5013H
8356;Icom IC-F5013
8638;Hytera MD785 25W G
8606;Hytera MD785 50W G
4916;Hytera MD785 25W
9346;Hytera MD785 50W
14031;Hytera MD625
14029;Hytera MD615
15160;Гранит 3Р-21АЦ
15159;Гранит 2Р-23
14061;Comrade R90 VHF
14060;Comrade R90 UHF
15271;Бизон KM9000S VHF
6123;Бизон KM9000 VHF
15272;Бизон KM9000 UHF 25 В
6124;Бизон KM9000 UHF
10783;Аргут РК-201М
10781;АРГУТ А-907
15423;Аргут А-703 VHF без антенны
15418;Аргут А-703 VHF
15426;Аргут А-703 UHF без антенны
15424;Аргут А-703 UHF
15428;Аргут А-701 VHF
15430;Аргут А-701 UHF
15415;Аргут А-550
4565;Alinco DR-M06R
13922;Alinco DR-CS10
8709;Alinco DR-B185R
10074;Alinco DR-735
8710;Alinco DR-638
4080;Alinco DR-635T
8711;Alinco DR-438
4564;Alinco DR-435T
8712;Alinco DR-435FX
8708;Alinco DR-138S
8707;Alinco DR-138
4069;Alinco DR-135T MKIII
4071;Alinco DR-135LH
4070;Alinco DR-135FX
8706;Alinco DR-135CBA
11469;AjetRays AR-450
11442;Ajetrays AR-27s
5756;Ajetrays AR-140
9904;Motorola DM4600
9903;Motorola DM4400
9585;Hytera TM-610
9523;Vertex Standard VX-1700-A0-125 EXP
9521;Vertex Standard VX-1400 SA0B-100 EXP
9520;MegaJet MJ-300
9385;Optim-380
9345;Hytera MD655 G
9052;Yosan Evolution
9051;Yosan Excalibur
9050;Yosan Excalibur Turbo
9049;Yosan Stealth 5
9022;MegaJet MJ-850
9021;MegaJet MJ-650 Turbo
9020;MegaJet MJ-650
9019;MegaJet MJ-555K
9018;MegaJet MJ-555
9017;MegaJet MJ-550
9016;MegaJet MJ-500
9015;MegaJet MJ-450
9014;MegaJet MJ-350 Turbo
9013;MegaJet MJ-350
9012;MegaJet MJ-333 Turbo
9011;MegaJet MJ-333
9009;MegaJet MJ-200+
9008;MegaJet MJ-200
9007;MegaJet MJ-150
9006;MegaJet MJ-100
9005;MegaJet MJ-50
9004;MegaJet MJ-3031 M
9003;MegaJet MJ-3031 M Turbo
9002;MegaJet MJ-600+
8999;MegaJet MJ-600+ Turbo
8998;MegaJet MJ-600 Turbo
8997;Автомобильная Си-Би радиостанция MegaJet MJ-600
8972;Midland 203
8829;Yaesu FT-2900R
8828;Yaesu FTM-400DR
8658;Icom IC-F6122D #21
8657;Icom IC-F6062D #84
8656;Icom IC-F6062D #83
8655;Icom IC-F5122D #21
8654;Icom IC-F5062D #94
8653;Icom IC-F5062D #93
8620;Hytera MD655
8412;Kenwood TK-8162E
8407;Kenwood TK-7162E
8406;Kenwood TK-7160M
8392;Kenwood TK-8108HM
8391;Kenwood TK-8108M
8389;Kenwood TK-8302HM
8310;Kenwood NX-800HK
8273;Yaesu FT-8800R
8223;Vector VT-27 RADIUS v2.0
8029;Icom ID-5100
8028;Icom IC-V8000
8027;Icom IC-2820H
7867;Kenwood TK-7302HM
7865;Kenwood TK-8100HK3
7864;Kenwood TK-8100HM
7863;Kenwood TK-8100M3
7862;Kenwood TK-8100M
7861;Kenwood TK-7100HM
7860;Kenwood TK-7100M
4573;Hytera TM-600
4236;Ajetrays AR-440
4081;Alinco DR-135CB
4009;Yaesu FT-1907
4008;Yaesu FT-1900R
3999;Yaesu FT-857
3984;Yaesu FTM-10R
3983;Yaesu FT-8900R
3981;Yaesu FT-7900R
3980;Yaesu FT-7800R
3979;Yaesu FT-2800M
3978;Yaesu FT-1802M / FT-1807M
3826;Vector Intek DRS-5570
3812;Vertex Standard VX-2100
3811;Vertex Standard VX-2200
3803;Vertex Standard VX-4500
3802;Vertex Standard VX-4600
3794;Vertex Standard EVX-5400
3793;Vertex Standard EVX-5300
3782;ЕРМАК Р350 / 660
3781;Motorola GM1280
3780;Motorola GM660
3779;Motorola GM640
3778;Motorola GM380
3777;Motorola GM360
3776;Motorola GM340
3775;Motorola GM160
3774;Motorola GM140
3773;Motorola CM360
3772;Motorola CM340
3771;Motorola CM160
3770;Motorola CM140
3745;Motorola DM4601
3744;Motorola DM4401
3743;Motorola DM3600 / 3601
3742;Motorola DM3400 / 3401
14507;Caltta PM790L
14505;Caltta PM790
13939;Alinco DR-D48
13938;Alinco DR-D18
13507;Комбат CB 27 Plus
13505;Комбат CB 27
13423;Icom IC-F7520
13173;Icom IC-2730
13140;Yaesu FTM-3200DR
13139;Yaesu FTM-3100
13137;Yaesu FTM-100DR
13001;Midland M ZERO PLUS
13000;MegaJet MJ-400 TURBO
12292;Комбат CB-27 Мини-Д
12291;Комбат CB-27 Мини
11870;Midland Alan 100 Plus
11869;Midland Alan 78 Plus
11868;Midland Alan 48 Plus
11866;Midland Alan 48 Excel
11864;Midland GB1
11716;Icom IC-F7510
11404;Icom ID-4100A
11346;Icom IC-F621
10423;Hytera MT680 Plus
10319;Kenwood TK-D840
10317;Kenwood TK-D740
15333;Vostok RT-10
15332;Vostok DR-600 DMR
15395;Терек РТ-9100
15393;Терек РТ-2800
14841;Racio RD1000
12255;Motorola SLR 8000
14710;Motorola SLR 5500 403-470 МГц
14709;Motorola SLR 5500 300-360 МГц
8992;Motorola SLR 5500
13335;Motorola SLR 1000
7573;Kenwood TKR-D810E
7572;Kenwood TKR-D710E
8418;Kenwood TKR-850K3
8419;Kenwood TKR-850K
8417;Kenwood TKR-750K
8276;Kenwood NXR-810K2
8277;Kenwood NXR-810E
8302;Kenwood NXR-800E4
8285;Kenwood NXR-800E3
8284;Kenwood NXR-800E
8274;Kenwood NXR-710K
