"updateDate","url","httpCode","status","target","lastAccess","title","event","turboPageExist","fromSitemap"
"09.02.2021","https://landcomm.ru/catalog/314/14659/","200","SEARCHABLE","https://landcomm.ru/catalog/314/14659/","07.02.2021","Motorola RMN5054: цена, описание, фото. Купить микрофон Motorola в Санкт-Петербурге, Москве, Красноярске, Нижнем Новгороде, Ростове-на-Дону в интернет-магазине Маринэк, доставка по России","ADD","NO","YES"
"09.02.2021","https://landcomm.ru/catalog/314/7264/","200","SEARCHABLE","https://landcomm.ru/catalog/314/7264/","06.02.2021","Купить антенну для рации Vostok AL-201 | носимая рация ST-201","ADD","NO","YES"
"09.02.2021","https://landcomm.ru/catalog/321/11997/","200","SEARCHABLE","https://landcomm.ru/catalog/321/11997/","07.02.2021","Беспроводная Bluetooth тангента Vostok BTSM-1: цена, описание, фото. Купить беспроводную Bluetooth тангенту Vostok BTSM-1 в Санкт-Петербурге, Москве, Красноярске.","ADD","NO","YES"
"09.02.2021","https://landcomm.ru/catalog/328/4742/","200","DUPLICATE","https://landcomm.ru/catalog/314/4742/","06.02.2021","Кожаный чехол Hytera LCY003","DELETE","NO","NO"
"09.02.2021","https://landcomm.ru/catalog/328/4748/","200","SEARCHABLE","https://landcomm.ru/catalog/328/4748/","06.02.2021","Шестипозиционное  зарядное устройство ЗУ Hytera MCA08","ADD","NO","NO"
"09.02.2021","https://landcomm.ru/catalog/328/p26/","200","SEARCHABLE","https://landcomm.ru/catalog/328/","13.01.2021","Купить гарнитуру, зарядку, аккумулятор для портативной радиостанции в Санкт-Петербурге и Москве, доставка по России","ADD","NO","NO"
"09.02.2021","https://landcomm.ru/catalog/332/6663/","200","SEARCHABLE","https://landcomm.ru/catalog/332/6663/","07.02.2021","Модуль LG-ERICSSON LIK-BRIM2 ","ADD","NO","YES"
"09.02.2021","https://landcomm.ru/catalog/333/4329/","200","DUPLICATE","https://landcomm.ru/catalog/kupit-raciyu/4329/","05.02.2021","Портативная радиостанция Ajetrays AJ-150: цена, описание, фото. Купить рацию Ajetrays AJ-150 в Санкт-Петербурге и Москве.","DELETE","NO","YES"
"09.02.2021","https://landcomm.ru/catalog/335/3998/","200","SEARCHABLE","https://landcomm.ru/catalog/335/3998/","06.02.2021","КВ-трансивер Yaesu FT-817 купить","ADD","NO","YES"
"09.02.2021","https://landcomm.ru/catalog/355/8098/","200","SEARCHABLE","https://landcomm.ru/catalog/355/8098/","06.02.2021","Дополнительная трубка Gigaset C530H RUS","ADD","NO","YES"
"09.02.2021","https://landcomm.ru/catalog/488/5990/","200","SEARCHABLE","https://landcomm.ru/catalog/488/5990/","06.02.2021","GSM модем iRZ TC65i-485GI
","ADD","NO","YES"
"09.02.2021","https://landcomm.ru/catalog/534/6638/","200","SEARCHABLE","https://landcomm.ru/catalog/534/6638/","06.02.2021","Системный телефон LG-ERICSSON LDP-7024D ","ADD","NO","YES"
"09.02.2021","https://landcomm.ru/catalog/575/4682/","200","SEARCHABLE","https://landcomm.ru/catalog/575/4682/","07.02.2021","Видеоняня Motorola MBP26 с ИК-подсветкой","ADD","NO","YES"
"09.02.2021","https://landcomm.ru/catalog/antenna-dlya-racii/p27/","200","NOT_CANONICAL","https://landcomm.ru/catalog/antenna-dlya-racii/","24.01.2021","Купить автомобильные, КВ, УКВ антенны, дуплексеры, преселекторы в Санкт-Петербурге и Москве в интернет-магазине компании Маринэк","DELETE","NO","NO"
"09.02.2021","https://landcomm.ru/catalog/antenna-dlya-racii/p38/","200","SEARCHABLE","https://landcomm.ru/catalog/antenna-dlya-racii/","06.02.2021","Купить автомобильные, КВ, УКВ антенны, дуплексеры, преселекторы в Санкт-Петербурге и Москве в интернет-магазине компании Маринэк","ADD","NO","NO"
"09.02.2021","https://landcomm.ru/catalog/avtomobilnye-ukv-radiostancii/3980/","200","DUPLICATE","https://landcomm.ru/catalog/334/3980/","20.01.2021","Купить Yaesu FT-7800R в Санкт-Петербурге и Москве, доставка по России","DELETE","NO","NO"
"09.02.2021","https://landcomm.ru/catalog/avtomobilnye-ukv-radiostancii/4236/","200","SEARCHABLE","https://landcomm.ru/catalog/avtomobilnye-ukv-radiostancii/4236/","07.02.2021","Мобильная / Базовая радиостанция Ajetrays AR-440","ADD","NO","NO"
"09.02.2021","https://landcomm.ru/catalog/brands/13597/p3/?keyword=%2B%D1%80%D0%B0%D1%86%D0%B8%D0%B8+%2B%D1%82%D0%B5%D1%80%D0%B5%D0%BA&matchtype=b&device=m","200","SEARCHABLE","https://landcomm.ru/catalog/brands/13597/","28.01.2021","Купить рацию Терек в Санкт-Петербурге и Москве, доставка по России","ADD","NO","NO"
"09.02.2021","https://landcomm.ru/catalog/brands/3709/p7/?keyword=%2B%D1%80%D0%B0%D0%B4%D0%B8%D0%BE%D1%81%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D0%B8+%2B%D0%BA%D0%B5%D0%BD%D0%B2%D1%83%D0%B4&matchtype=b&device=c","200","SEARCHABLE","https://landcomm.ru/catalog/brands/3709/","15.12.2020","Купить рацию Kenwood в Санкт-Петербурге и Москве, доставка по России","ADD","NO","NO"
